2019-11-06,Alabama,82,Southern Univ,62
2019-11-06,Arizona St,102,Cal St Fullerton,94
2019-11-06,Army,73,Marist,69
2019-11-06,Auburn,101,South Alabama,58
2019-11-06,Ball St,86,Indiana St,69
2019-11-06,Boston College,73,Milwaukee,53
2019-11-06,Boston University,77,Northeastern,74
2019-11-06,Buffalo,82,St. Francis PA,67
2019-11-06,Campbell,97,UNC Wilmington,93
2019-11-06,Central Connecticut,75,Hartford,68
2019-11-06,Chattanooga,80,Charlotte,69
2019-11-06,Clemson,100,The Citadel,80
2019-11-06,College of Charleston,85,Presbyterian,73
2019-11-06,Cornell,86,Binghamton,75
2019-11-06,Creighton,78,Western Illinois,67
2019-11-06,Davidson,83,Cleveland St,63
2019-11-06,Denver,63,Maine,50
2019-11-06,Duke,118,Kentucky,84
2019-11-06,East Carolina,81,Delaware St,56
2019-11-06,Elon,62,Manhattan,56
2019-11-06,Florida A&M,65,Jacksonville,50
2019-11-06,Florida St,81,Florida,60
2019-11-06,Georgetown,68,Maryland Eastern Shore,53
2019-11-06,Georgia St,74,East Tennessee St,68
2019-11-06,Gonzaga,120,Idaho St,79
2019-11-06,Holy Cross,93,Sacred Heart,81
2019-11-06,Illinois St,74,Florida Gulf Coast,66
2019-11-06,Indiana,104,Chicago St,55
2019-11-06,Iowa St,79,Alabama St,53
2019-11-06,Kansas,92,Michigan St,87
2019-11-06,Lehigh,85,Monmouth,61
2019-11-06,Louisiana Tech,71,Wichita St,58
2019-11-06,Loyola Chicago,76,UMKC,45
2019-11-06,LSU,94,Southeastern Louisiana,63
2019-11-06,Marquette,67,UMBC,42
2019-11-06,Maryland,73,Delaware,67
2019-11-06,Massachusetts,83,UMass Lowell,75
2019-11-06,Memphis,76,Tennessee Tech,61
2019-11-06,Michigan,63,Norfolk St,44
2019-11-06,Minnesota,104,Nebraska Omaha,76
2019-11-06,Missouri,68,Central Arkansas,55
2019-11-06,Missouri St,84,Oral Roberts,50
2019-11-06,North Carolina St,105,Mount St. Mary's,55
2019-11-06,Nebraska,106,Mississippi Valley St,37
2019-11-06,Nevada,86,BYU,70
2019-11-06,New Mexico,87,Cal St Northridge,84
2019-11-06,New Mexico St,73,North Dakota St,56
2019-11-06,NJIT,81,Colgate,78
2019-11-06,North Carolina,78,Wofford,67
2019-11-06,Notre Dame,84,Illinois Chicago,67
2019-11-06,Old Dominion,67,Navy,44
2019-11-06,Oregon,84,Portland St,57
2019-11-06,Oregon St,72,UC Riverside,59
2019-11-06,Pacific,74,SIU Edwardsville,65
2019-11-06,Penn,72,George Mason,71
2019-11-06,Pittsburgh,69,Youngstown St,53
2019-11-06,Providence,77,Siena,67
2019-11-06,Purdue,90,Fairfield,57
2019-11-06,Rhode Island,97,Bryant,63
2019-11-06,South Dakota St,79,Grand Canyon,74
2019-11-06,Samford,91,North Alabama,74
2019-11-06,San Diego,83,Weber St,66
2019-11-06,San Diego St,76,Arkansas Pine Bluff,60
2019-11-06,San Francisco,76,UC Davis,42
2019-11-06,UC Santa Barbara,76,Wyoming,66
2019-11-06,Seton Hall,89,Wagner,49
2019-11-06,South Carolina,65,USC Upstate,52
2019-11-06,South Florida,80,Alabama A&M,63
2019-11-06,St. John's,76,Loyola MD,55
2019-11-06,Saint Louis,75,Southeast Missouri St,65
2019-11-06,Stanford,96,Seattle,74
2019-11-06,Stony Brook,77,George Washington,74
2019-11-06,Syracuse,66,Eastern Washington,34
2019-11-06,Temple,75,La Salle,67
2019-11-06,Texas,71,Eastern Illinois,59
2019-11-06,Texas Tech,87,Incarnate Word,37
2019-11-06,Tulsa,73,Alcorn St,56
2019-11-06,Texas Southern,72,Baylor,69
2019-11-06,UAB,75,Mercer,67
2019-11-06,UC Irvine,86,Idaho,68
