player_name,team,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts
Josh Warren,Cornell,29,64.2,101.1,22.4,57,59.81,3.4,15.7,22.6,23.3,55,76,0.724,90,158,0.57,19,50,0.38,2.4,0.9,36.5,2,1.46067,103.862,3.6,104.504,104.945,2.18275,133.783,-0.27619,-0.789809,0.513619,-0.177955,25.3871,-0.324727,0.146772,0.7742,3.5806,4.3548,2.5806,0.4516,0.5806,9.7419
Luke Worthington,BYU,32,26.3,106.4,15.4,49.3,52.33,9.9,14.3,5.1,13.7,24,40,0.6,33,67,0.493,0,0,0,0.6,1.8,59.7,3,0.500905,101.204,8.8,105.112,103.063,0.96188,63.6724,-1.37913,-0.742721,-0.636408,-3.45606,10.625,-3.28783,-0.168232,0.9062,1.375,2.2812,0.3125,0.3438,0.0625,2.8125
Dontel Highsmith,Cleveland St,29,39.2,113.6,11.8,50.6,56.01,2.2,7.8,9.8,12.4,26,32,0.813,21,41,0.512,14,42,0.333,0.7,1.3,38.6,3,0.600895,98.4936,3.1,114.425,113.061,0.892847,69.5653,-2.81956,-0.537526,-2.28203,-2.37808,15.9355,-1.5507,-0.827376,0.3226,1.1613,1.4839,0.9677,0.3871,0.0968,3.9677
Dylan Jones,Rice,3,0.8,204.6,11,100,101.69,0,10.9,0,0,2,2,1,2,2,1,0,0,0,0,5.6,100,3,1.05479,178.65,0,100.744,103.695,0.297998,2.36628,4.44371,4.85177,-0.408062,15.8785,2.75,10.3679,5.51068,0,0.25,0.25,0,0.25,0,1.5
Emmanuel Toney,Texas A&M Corpus Chris,28,72.9,91.2,19,44.8,48.04,2.3,11.3,25.3,26.2,38,56,0.679,49,116,0.422,25,77,0.325,0.3,2.2,29,3,0.0125286,87.5821,2.5,101.888,104.563,2.51978,143.21,-2.58673,-2.22467,-0.362059,-2.48324,28.9062,-2.52056,0.0373138,0.5625,2.875,3.4375,3.4375,1.1875,0.0625,7.8125
Damarion Geter,Longwood,28,55.9,97.1,13.3,50,51,5.3,17.2,9.8,21.4,25,47,0.532,41,84,0.488,10,28,0.357,3.7,1.8,42,3,-0.2847,84.1424,3.5,102.953,104.237,2.1904,135.672,-0.684841,-2.9052,2.22036,-2.10182,25.3333,-2.89278,0.790951,1.4667,3.7667,5.2333,1.3,0.8667,0.7333,5.2667
Parker Van Dyke,Utah,31,60.3,120.4,15.3,60.3,60.98,0.6,6.2,13.1,13.8,11,14,0.786,18,33,0.545,72,176,0.409,0.6,2.3,6.7,3,2.38151,115.902,3,111.378,109.557,1.66629,118.421,3.82389,4.78919,-0.9653,3.0595,24.2258,2.91199,0.147509,0.129,1.2903,1.4194,1.6774,0.9355,0.129,8.4839
Andre Adams,Southern Utah,32,56.5,97.6,23.5,58.3,59.35,7.3,23.8,10.7,24.9,52,84,0.619,130,215,0.605,2,13,0.154,3.2,1.2,36.8,1,0.758941,97.1294,6.2,100.392,102,2.15478,161.275,-1.99972,-3.4444,1.44468,-2.42296,22.4412,-2.91523,0.492272,1.4706,4.8529,6.3235,1.0588,0.5882,0.6765,9.7647
Mitch Hahn,Nebraska Omaha,31,79.8,111.7,20.8,54.5,56.6,3.5,21,9.2,11.9,48,62,0.774,106,199,0.533,55,147,0.374,0.6,0.9,17.9,3,2.49564,110.001,2.7,110.469,110.543,2.09404,174.747,-0.391085,1.37457,-1.76565,0.297544,31.9062,1.89593,-1.59838,0.9375,5.4062,6.3438,1.6562,0.5312,0.1562,13.625
Ryan Andino,Maryland Eastern Shore,30,69.2,91.7,20,43.4,45.48,0.6,6.6,4.3,5.9,26,30,0.867,17,48,0.354,78,261,0.299,0,1,9.7,3,0.116498,88.671,1.1,116.532,121.515,0.759986,102.582,-6.35104,-0.58099,-5.77005,-4.2588,28.1562,-0.274212,-3.98459,0.125,1.5938,1.7188,0.5,0.5,0,10.2812
